Fixed O&M ($/MW) - Preex. Nonretiring,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
hard coal,56505.05975,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505
natural gas nonpeaker,37151.99593,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152,37152
nuclear,141484.6682,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485,141485
hydro,20525.0445,20525,20525,20525,20525,20525,20525,20525,20525,20525,20525,20525,20525,20525,20525,20525,20525,20525,20525,20525,20525,20525,20525,20525,20525,20525,20525,20525,20525,20525,20525,20525
onshore wind,53445.20722,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445,53445
solar PV,49105.0089,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105,49105
solar thermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biomass,81009.69362,81010,81010,81010,81010,81010,81010,81010,81010,81010,81010,81010,81010,81010,81010,81010,81010,81010,81010,81010,81010,81010,81010,81010,81010,81010,81010,81010,81010,81010,81010,81010
geothermal,205200,205200,205200,205200,205200,205200,205200,205200,205200,205200,205200,205200,205200,205200,205200,205200,205200,205200,205200,205200,205200,205200,205200,205200,205200,205200,205200,205200,205200,205200,205200,205200
petroleum,40165.14111,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165
natural gas peaker,13940.06484,13940,13940,13940,13940,13940,13940,13940,13940,13940,13940,13940,13940,13940,13940,13940,13940,13940,13940,13940,13940,13940,13940,13940,13940,13940,13940,13940,13940,13940,13940,13940
lignite,56505.05975,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505,56505
offshore wind,91025,91025,91025,91025,91025,91025,91025,91025,91025,91025,91025,91025,91025,91025,91025,91025,91025,91025,91025,91025,91025,91025,91025,91025,91025,91025,91025,91025,91025,91025,91025,91025
crude oil,40165.14111,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165
heavy or residual fuel oil,40165.14111,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165,40165
municipal solid waste,101703.5342,101704,101704,101704,101704,101704,101704,101704,101704,101704,101704,101704,101704,101704,101704,101704,101704,101704,101704,101704,101704,101704,101704,101704,101704,101704,101704,101704,101704,101704,101704,101704
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
