Fuel Price ($/BTU),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,
Transportation Sector,1.39E-05,1.39E-05,1.42E-05,1.45E-05,1.48E-05,1.52E-05,1.55E-05,1.58E-05,1.61E-05,1.65E-05,1.68E-05,1.72E-05,1.75E-05,1.79E-05,1.83E-05,1.87E-05,1.91E-05,1.95E-05,1.99E-05,2.03E-05,2.07E-05,2.12E-05,2.16E-05,2.21E-05,2.25E-05,2.30E-05,2.35E-05,2.40E-05,2.45E-05,2.50E-05,2.55E-05,,
Electricity Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Residential Buildings Sector,9.6672E-06,1.50311E-05,1.52E-05,1.55E-05,1.57E-05,1.59E-05,1.61E-05,1.63E-05,1.66E-05,1.68E-05,1.70E-05,1.73E-05,1.75E-05,1.78E-05,1.80E-05,1.83E-05,1.85E-05,1.88E-05,1.91E-05,1.93E-05,1.96E-05,1.99E-05,2.01E-05,2.04E-05,2.07E-05,2.10E-05,2.13E-05,2.16E-05,2.19E-05,2.22E-05,2.25E-05,,
Commercial Buildings Sector,9.6672E-06,1.50311E-05,1.51E-05,1.52E-05,1.53E-05,1.55E-05,1.56E-05,1.57E-05,1.58E-05,1.59E-05,1.60E-05,1.61E-05,1.62E-05,1.63E-05,1.64E-05,1.66E-05,1.67E-05,1.68E-05,1.69E-05,1.70E-05,1.71E-05,1.73E-05,1.74E-05,1.75E-05,1.76E-05,1.77E-05,1.79E-05,1.80E-05,1.81E-05,1.82E-05,1.84E-05,,
Industry Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
District Heating Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
LULUCF Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Geoengineering Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
