Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,,,
hard coal ($/MWh),0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,,,,
natural gas nonpeaker ($/MWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
nuclear ($/MWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
hydro ($/MWh),18.122,14.431,14.138,13.850,13.569,13.293,13.023,12.758,12.498,12.244,11.995,11.752,11.513,11.279,11.049,10.825,10.605,10.389,10.178,9.971,9.768,9.570,9.375,9.184,8.998,8.815,8.636,8.460,8.288,8.120,7.954,,,,
onshore wind ($/MWh),7.249,5.772,5.655,5.540,5.427,5.317,5.209,5.103,4.999,4.898,4.798,4.701,4.605,4.511,4.420,4.330,4.242,4.156,4.071,3.988,3.907,3.828,3.750,3.674,3.599,3.526,3.454,3.384,3.315,3.248,3.182,,,,
solar PV ($/MWh),7.249,5.772,5.655,5.540,5.427,5.317,5.209,5.103,4.999,4.898,4.798,4.701,4.605,4.511,4.420,4.330,4.242,4.156,4.071,3.988,3.907,3.828,3.750,3.674,3.599,3.526,3.454,3.384,3.315,3.248,3.182,,,,
solar thermal ($/MWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
biomass ($/MWh),18.122,14.431,14.138,13.850,13.569,13.293,13.023,12.758,12.498,12.244,11.995,11.752,11.513,11.279,11.049,10.825,10.605,10.389,10.178,9.971,9.768,9.570,9.375,9.184,8.998,8.815,8.636,8.460,8.288,8.120,7.954,,,,
geothermal ($/MWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
petroleum ($/MWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
natural gas peaker ($/MWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
lignite ($/MWh),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,
offshore wind ($/MWh),36.245,28.862,28.275,27.700,27.137,26.585,26.045,25.516,24.997,24.489,23.991,23.503,23.025,22.557,22.098,21.649,21.209,20.778,20.356,19.942,19.536,19.139,18.750,18.369,17.995,17.630,17.271,16.920,16.576,16.239,15.909,,,,
crude oil ($/MWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
heavy or residual fuel oil ($/MWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
municipal solid waste ($/MWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
